Taxon_FA,Genera,PhAname,Endemicity,non.endemic,SEN,Taxon,Familie,SIN,FAN,FHN,ZWN,WSN,ZDSF,T,Tv,K,Kv,L,Lv,F,Fv,W,R,Rv,N,Nv,S,M,H,Hv,D,Dv,LF,BD,WT,RO,KS,DA,VA,FS,MA,BZ,BZ.S,BZ.D,BS,MV,SU,DG,GI,GV,LR,EG,AE,EM,VE,CH,JU,JU1,JU2,MP,MP1,MP2,NA.,NA1,NA2,WA,EA,SA,SA1,SA2,SA3,PS,PS1,PS1_txt,PS2,PS2_txt,PS3,PS3_txt,BL,SL,TB,
Festuca_ovina,Festuca,Festuca ovina,0,1,2395,Festuca ovina,Poaceae,168500,139.1.42,2634,355,2189,ZDSF,4,I,4,I,3,II,2,I,2,2,I,2,I,s,m,5,I,3,I,h,t,3,Rs,css,Me Ep,Ho,zw,,05-juil,5 6 7,3,an,3,2*,4,e,B4,6.2 6.7 9.1 9.2,6,I/N,3,,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,4.14,NA,,NA,,4.14,Festuco-Sedetalia,,,,
Campanula_rotundifolia,Campanula,Campanula rotundifolia,0,1,1108,Campanula rotundifolia,Campanulaceae,77100,118.1.43,1905,2931,1704,ZDSF,3.5,II,4,I,4,I,2,I,1,3,II,2,I,,m,3,II,3,I,h,w,3,Wd,crs,Bo My,Ao Sr,zw,,05-sept,5 6 7 8 9,5,me ca (my) (sp),3,3*,2,e,B3,6.2 6.7 9.1 9.2,6,I,2,,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,9.1 11.24 15.001,9.1,Festuco-Brometea,11.24,Arrhenatheretalia elatioris,15.001,F_hrenw_lder trockener Standorte,,,,
Acer_monspessulanum,Acer,Acer monspessulanum,0,1,7,Acer monspessulanum,Aceraceae,400,87.1.5,-,1987,-,ZDSF,4.5,I,3,I,3,I,2,I,1,4,I,2,I,,,3,I,3,II,n-p,s,3,Wh,ccc,Me,Kv,mo,150*,04-mai,4 5,2,en,-,,1,e,C1,2.9 7.3 7.4 9.3,-,I,2,=,,,,,,,,,,,,,,,,,14.81,14.81,Quercetalia pubescenti-sessiliflorae,NA,,,,,,,
Acer_negundo,Acer,Acer negundo,0,1,8,Acer negundo,Aceraceae,500,87.1.6,1365,1984,-,ZDSF,4.5,I,2,I,3,I,3.5,II,3,3,I,4,II,,,3,II,3,II,p,s,3,Wh,ccc,Me,Sr,mo,80*,04-mai,4 5,2,an,-,,2,e,A2c,2.9 9.2 9.5,1,N,4,<,(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),14.71,NA,,NA,,14.71,Populetalia albae,,,,
Acer_opalus,Acer,Acer opalus,0,1,9,Acer opalus,Aceraceae,600,87.1.4,1364,1989,998,ZDSF,4.5,I,3,I,3,I,2,I,1,4,I,3,I,,,3,I,3,II,p,s,3,Wh,ccc,Me,Sr,mo,500*,04-mai,4 5,2,en,-,,1,e,E2b,7.4 9.2 9.3,1,I,1,=,LC,LC,LC,-,NT,NT,-,NT,NT,-,LC,-,-,-,-,-,14.811,14.811,Quercion pubescenti-sessiliflorae,NA,,,,,,,
Achillea_collina,Achillea,Achillea collina,0,1,29,Achillea collina,Asteraceae,1200,124.31.17,2121,3175,-,ZDSF,4,I,5,I,4,I,1,I,1,4,I,2,I,ss,m,3,I,3,I,c-h,t,3,Rs,crs,Bo En,Au,ve,,06-sept,6 7 8 9,4,,3,,2,h e,D4,2.2 6.2 6.7 9.1,6,I,2,,EN,-,-,-,-,-,-,-,-,-,DD,-,EN,EN,-,-,9.11,NA,,NA,,9.11,Festucetalia valesiacae,,,,
Achillea_setacea,Achillea,Achillea setacea,0,1,36,Achillea setacea,Asteraceae,2400,124.31.13,2119,3173,1790,ZDSF,4,I,5,I,5,I,1,I,1,4,I,2,I,ss,,3,I,3,II,h,t,3,Rs,crs,Bo,Au,ve,,06-ao_t,6 7 8,3,,2,,3,h e,B6a,2.2 3.2 6.2,6,I,2,,LC,-,-,-,-,-,-,EN,EN,EN,LC,-,NT,NT,-,-,9.11,NA,,NA,,9.11,Festucetalia valesiacae,,,,
Achnatherum_calamagrostis,Achnatherum,Achnatherum calamagrostis,0,1,50,Achnatherum calamagrostis,Poaceae,2700,139.57.1,2792,186,2334,ZDSF,3,II,4,I,4,I,1.5,I,2,5,I,2,I,,,1,I,3,II,h,s,3,Rs,rss,Me,Ho Sr,ve,,06-sept,6 7 8 9,4,an,2,,4,,E2,2.5 3.2 6.2 9.1,3,I,1,=,LC,NT,NT,-,VU,VU,VU,LC,LC,LC,LC,LC,LC,NT,LC,LC,3.36,3.36,Stipetalia calamagrostis,NA,,,,,,,
Actaea_spicata,Actaea,Actaea spicata,0,1,76,Actaea spicata,Ranunculaceae,5200,19.7.1,129,1119,356,ZDSF,3,I,3,I,1,I,3.5,I,1,4,II,3,I,,m,5,II,3,I,h,s,3,Rh,ccs,En,Sr,zw,r6,05-juil,5 6 7,3,au ca,1,,2,mg,B6,7.2 7.4 9.2,1,I,1,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,14.73 14.735,14.73,Fagetalia sylvaticae,14.735,Tilio-Acerion,,,,,,
Adenostyles_glabra,Adenostyles,Adenostyles glabra,0,1,81,Adenostyles glabra,Asteraceae,5500,124.44.2,2027,3036,1824,ZDSF,2,I,3,I,2,II,3.5,I,1,5,I,3,I,,,3,I,3,II,h,s,3,Rh,crs,Me,Sr,zw,r2,06-ao_t,6 7 8,3,au le ca (hm) (me),2,,4,tg,F1,3.3 7.2 8.2 9.2,2,I,1,=,LC,LC,LC,-,VU,VU,VU,LC,LC,LC,LC,LC,LC,LC,LC,LC,3.312 14.73 11.514,3.312,Petasition paradoxi,14.73,Fagetalia sylvaticae,11.514,Adenostylion,,881,,
